cheese,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Accasciato,"buffalo, cow",Italy,Campania,NA,semi-hard,NA,NA,firm,natural,pale yellow,sweet,"aromatic, fresh",FALSE,FALSE,Casa Madaio
Ackawi,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",NA,NA,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,NA
Acorn,sheep,United Kingdom,Bethania,NA,"hard, artisan",52%,NA,"crumbly, firm",NA,NA,"burnt caramel, citrusy, herbaceous",fruity,TRUE,FALSE,NA
Adelost,cow,Sweden,NA,Blue,"semi-soft, blue-veined",50%,NA,creamy,natural,blue,"salty, sharp, tangy",strong,NA,NA,NA
ADL Brick Cheese,cow,Canada,Prince Edward Island,Cheddar,semi-soft,12%,NA,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",NA,NA,ADL - Amalgamated Dairies Limited
ADL Mild Cheddar,cow,Canada,Prince Edward Island,Cheddar,semi-hard,14%,NA,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",NA,NA,NA,ADL - Amalgamated Dairies Limited
Affidelice au Chablis,cow,France,Burgundy,NA,soft,55%,26 mg/100g,"creamy, smooth",washed,orange,"fruity, mild, tangy","perfumed, strong",FALSE,FALSE,Fromagerie Berthaut
Affineur Walo Rotwein Sennechäs,cow,Switzerland,NA,Swiss Cheese,"hard, artisan",NA,NA,smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",FALSE,FALSE,Walo von Mühlenen AG
Afuega'l Pitu,cow,Spain,Asturias,NA,"soft, artisan",NA,NA,smooth,cloth wrapped,NA,"spicy, strong",NA,FALSE,FALSE,NA
Aged British Cheddar,cow,United States,NY,Cheddar,"hard, artisan",NA,NA,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",NA,NA,Muranda Cheese Company
Aged Cashew & Blue Green Algae Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,blue,"creamy, mellow, oceanic, tangy",rich,TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cashew & Brazil Nut Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, nutty, sweet","nutty, rich",TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cashew & Dulse Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, oceanic",rich,TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cashew & Hemp Seed Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cashew Nut & Kale Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,green,"creamy, oceanic, tangy",rich,TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cashew Nut Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE,Dr. Cow Tree Nut Cheese
Aged Cheddar,cow,United States,NA,NA,hard,NA,NA,"buttery, creamy, crumbly",rindless,golden yellow,"creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,"Maple Grove Cheese, INC."
Aged Chelsea,goat,United States,"Ann Arbor, Michigan",NA,soft,NA,NA,"creamy, spreadable",mold ripened,ivory,"acidic, buttery, sweet",goaty,FALSE,FALSE,Zingermans.com LLC
Aged Gouda,"cow, goat, sheep",Netherlands,NA,Gouda,hard,NA,NA,"crumbly, crystalline, dense",waxed,yellow,NA,rich,NA,NA,NA
Aggiano,cow,United States,Utah,NA,"hard, artisan",NA,NA,"creamy, dry",NA,cream,"butterscotch, tangy",fruity,TRUE,FALSE,Beehive Cheese Company
Ailsa Craig,goat,"Scotland, United Kingdom",Stewarton,NA,"semi-soft, artisan",NA,NA,"creamy, fluffy",rindless,white,creamy,goaty,TRUE,FALSE,Dunlop Dairy
Airedale,cow,New Zealand,Airedale farming district,NA,"semi-soft, artisan",NA,NA,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE,Whitestone Cheese
Aisy Cendre,cow,France,Burgundy,NA,"semi-soft, smear-ripened",50%,NA,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,NA
Alex James Co. No 1 Cheddar,cow,United Kingdom,NA,NA,hard,NA,NA,"creamy, crumbly",NA,yellow,sweet,NA,NA,NA,NA
Alex James Co. No 2 Blue Monday,cow,United Kingdom,NA,NA,semi-soft,NA,NA,"creamy, semi firm",NA,blue,NA,"spicy, sweet",NA,NA,NA
Alex James Co. No 3 Valley Brie,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,pale white,NA,NA,NA,NA,NA
Alex James Co. No 4 Goats',goat,United Kingdom,NA,NA,fresh soft,NA,NA,"smooth, springy",NA,pale white,NA,NA,NA,NA,NA
Alex James Co. No 5 Grunge,cow,United Kingdom,NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft",washed,orange,NA,NA,NA,NA,NA
Alisia-Victoria,cow,Switzerland,NA,NA,firm,NA,NA,smooth,natural,golden yellow,buttery,nutty,NA,NA,Eyeweid
Allgauer Emmentaler,cow,Germany,Swabia,NA,hard,45%,NA,firm,natural,yellow,nutty,pungent,FALSE,FALSE,NA
Allium Piper,goat,Australia,South Australia,NA,"fresh soft, artisan",45%,NA,"creamy, soft",NA,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,Woodside Cheese Wrights
Alma Vorarlberger Alpkäse (3-5 months),cow,Austria,Vorarlberg,NA,"hard, artisan",34%,NA,firm,natural,yellow,"mild, spicy","mild, spicy",FALSE,FALSE,Rupp AG
Alma Vorarlberger Alpkäse (6-9 months),cow,Austria,Vorarlberg,NA,"hard, artisan",34%,NA,firm,natural,yellow,"spicy, strong","spicy, strong",FALSE,FALSE,Rupp AG
Alma Vorarlberger Bergkäse (10 months),cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp AG
Alma Vorarlberger Bergkäse (12 months),cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp AG
Alma Vorarlberger Bergkäse (6 months),cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,FALSE,FALSE,Rupp AG
Almnäs Tegel,cow,Sweden,Västra Götaland,NA,"hard, smear-ripened",NA,NA,"open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",FALSE,FALSE,Almnäs Bruk
Alpe di Frabosa,cow,Italy,NA,NA,semi-soft,NA,NA,,NA,NA,bitter,"milky, mushroom",FALSE,FALSE,NA
Alpha Tolman,cow,United States,"Greensboro, VT",Swiss Cheese,"semi-hard, artisan",NA,NA,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,Jasper Hill Farm
Alpicrème,goat,France,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Alpine Gold,cow,Canada,British Columbia,NA,"semi-soft, brined",NA,NA,supple,washed,cream,"floral, grassy, savory","earthy, floral, rich",FALSE,FALSE,The Farm House Natural Cheeses
Alpkäse,cow,Switzerland,NA,NA,hard,NA,NA,dense,natural,golden yellow,herbaceous,rich,FALSE,FALSE,Jumi
Alps Rebel,cow,Austria,Sulzberg,NA,"semi-hard, artisan",48%,NA,"creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",NA,NA,Sulzberger Käserebellen Sennerei GmbH
Alta Badia,cow,Italy,NA,NA,semi-soft,33.5 g/100g,NA,firm,NA,NA,"milky, sharp, tangy",NA,FALSE,FALSE,Mila LATTE MONTAGNA ALTO ADIGE
Alverca,"goat, sheep",Portugal,NA,NA,semi-hard,40-50%,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Amablu Blue cheese,cow,United States,NA,Blue,"semi-soft, artisan, blue-veined",NA,NA,crumbly,NA,NA,tangy,NA,FALSE,FALSE,Caves of Faribault
Amalthée,goat,France,Charentes-Poitou,NA,"soft, soft-ripened",NA,NA,,bloomy,NA,"grassy, mild, sweet","goaty, grassy, mild, sweet",FALSE,FALSE,NA
Amarelo de Beira Baixa,"goat, sheep",Portugal,Beira Baixa Province,NA,"semi-firm, artisan",45-60%,NA,,NA,yellow,acidic,NA,FALSE,FALSE,NA
Ameribella,cow,United States,Indiana,NA,"semi-soft, artisan",NA,NA,"creamy, runny, smooth, spreadable",washed,straw,"mushroomy, salty, savory, sweet","earthy, grassy, lactic",NA,NA,Jacobs & Brichford Farmstead Cheese
American Cheese,cow,United States,NA,NA,"semi-soft, processed",NA,NA,smooth,rindless,yellow,NA,mild,FALSE,FALSE,NA
Ami du Chambertin,cow,France,"Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined",45%,NA,smooth,washed,white,"buttery, sharp",NA,FALSE,FALSE,NA
Amish Frolic,cow,United States,"Milford, NJ",NA,"hard, artisan",NA,NA,"flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,FALSE,FALSE,Bobolink Dairy
Amou,sheep,France,"Amou, Gascony",NA,firm,45%,NA,,NA,golden yellow,NA,NA,FALSE,FALSE,NA
Amsterdammer (British Columbia),,Canada,"Comox Valley, Vancouver Island",NA,"semi-soft, firm",30%,NA,"buttery, creamy",natural,pale yellow,"buttery, creamy","aromatic, buttery",FALSE,FALSE,Natural Pastures Cheese Company
Amul Cheese Spread,cow,India,Gujarat,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Emmental,cow,India,Gujarat,Swiss Cheese,semi-hard,46%,488 mg/100g,"firm, open",artificial,yellow,sweet,nutty,TRUE,FALSE,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Gouda,cow,India,Gujarat,Gouda,semi-hard,46%,492 mg/100g,"compact, dense, firm, springy",plastic,yellow,"fruity, sweet",mild,TRUE,FALSE,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Pizza Mozzarella Cheese,cow,India,Gujarat,Mozzarella,"semi-soft, processed",30-40%,492 mg/100g,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Processed Cheese,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed",26%,343 mg/100g,"crumbly, dense",artificial,yellow,"buttery, creamy, salty",NA,TRUE,FALSE,Gujarat Cooperative Milk Marketing Federation (Amul)
Anari,"goat, sheep",Cyprus,island wide,Cottage,"fresh soft, hard, artisan",8%,NA,"brittle, creamy, flaky",natural,white,"creamy, mild, salty",NA,NA,NA,NA
Anejo Enchilado,"cow, goat",Mexico,NA,NA,semi-hard,NA,NA,"crumbly, firm",NA,white,"salty, sharp, spicy, strong",strong,FALSE,FALSE,NA
Anneau du Vic-Bilh,goat,France,Pyrenees-Atlantiques,Cottage,"soft, artisan",45%,NA,"creamy, smooth",NA,white,"acidic, nutty, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,NA
Anniversary Ale Cheddar,cow,United States,Northwest,Cheddar,"semi-hard, artisan",NA,NA,"dense, firm",NA,NA,"creamy, mild, sweet","floral, fruity",TRUE,FALSE,Rogue Creamery
Anster,cow,Scotland,Fife,NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,ivory,milky,"milky, rich",NA,NA,St Andrews Farmhouse Cheese Company
Anthotyro,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey",30%,318 mg/100g,crumbly,natural,white,"salty, tangy",strong,NA,NA,NA
Anthotyro Fresco,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"semi-soft, whey",20%,NA,"creamy, smooth",rindless,white,sweet,NA,NA,NA,NA
Aphrodite Goat Milk Halloumi,goat,Cyprus,NA,NA,"semi-soft, artisan",NA,NA,soft,rindless,white,"lemony, tangy",strong,NA,NA,NA
Appalachian,cow,United States,Virginia,Tomme,"semi-soft, artisan",NA,NA,firm,mold ripened,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",NA,NA,Meadow Creek Dairy
Appenzeller,cow,Switzerland,NA,NA,"hard, artisan",NA,NA,firm,washed,NA,"fruity, nutty",strong,NA,NA,NA
Apple Walnut Smoked,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, smooth",NA,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",TRUE,FALSE,Beehive Cheese Company
Appleby's Double Gloucester,cow,"England, Great Britain, United Kingdom",Gloucestershire,NA,"hard, artisan",54.23 g/100g,NA,"crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",TRUE,FALSE,Appleby's
Applewood,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,NA,NA,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE,Ilchester Cheese Company
Applewood Smoked Chevre,goat,United States,Colorado,NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm",rindless,white,subtle,woody,TRUE,FALSE,Haystack Mountain Creamery
Aragon,,Spain,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Ardi Gasna,sheep,France,Midi-Pyrénées,NA,"hard, artisan",45%,NA,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,FALSE,FALSE,NA
Ardrahan,cow,Ireland,Duhallow,NA,"semi-soft, brined",25%,NA,"chalky, smooth",washed,yellow,"acidic, buttery, nutty","earthy, pungent",TRUE,FALSE,Ardrahan Dairy Products Ltd.
Ardsallagh Hard Goat's Cheese,goat,Ireland,Carrigtwohill,NA,"semi-hard, artisan",NA,NA,"firm, smooth",natural,white,"nutty, salty, smooth",NA,TRUE,FALSE,Ardsallagh Goats Farm
Ardsallagh Smoked Cheese,goat,Ireland,Carrigtwohill,NA,"semi-hard, artisan",NA,NA,"firm, smooth",natural,white,"mild, nutty, smokey , sweet",NA,TRUE,FALSE,Ardsallagh Goats Farm
Ardsallagh Soft Goat's Cheese,,,Carrigtwohill,NA,NA,NA,NA,,natural,white,NA,NA,TRUE,FALSE,Ardsallagh Goats Farm
Armenian String Cheese,"cow, goat, sheep",Armenia,NA,NA,semi-soft,NA,NA,"creamy, smooth, springy",NA,white,mild,NA,NA,NA,NA
Aromes au Gene de Marc,"cow, goat",France,Rhône-Alpes,NA,"semi-soft, artisan",25%,NA,"creamy, flaky",natural,white,strong,"fermented, pungent",FALSE,FALSE,NA
Arådalen,cow,Sweden,Oviken,Blue,"soft, artisan, blue-veined",34%,NA,creamy,mold ripened,ivory,sweet,NA,NA,NA,Oviken cheese
Ascutney Mountain,cow,United States,Vermont,Swiss Cheese,"hard, artisan",NA,NA,"chewy, dense",natural,NA,"mild, nutty, sweet","herbal, sweet",TRUE,FALSE,Cobb Hill Farm
Asher Blue,cow,United States,Georgia,Blue,"semi-soft, blue-veined",NA,NA,"creamy, crumbly",natural,straw,"grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",TRUE,FALSE,Sweet Grass Dairy
Ashley,cow,United States,Colorado,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, soft",ash coated,cream,sweet,NA,NA,NA,MouCo Cheese Company
Asiago DOP,cow,Italy,"Veneto, Trentino",NA,hard,34-48%,NA,"compact, crumbly, open, smooth",natural,yellow,"full-flavored, milky, sharp",pungent,FALSE,FALSE,NA
Asiago d’Allevo DOP,cow,Italy,Veneto,NA,hard,34%,NA,compact,natural,pale yellow,savory,"pleasant, yeasty",FALSE,FALSE,NA
Asiago Pressato DOP,cow,Italy,Veneto,NA,semi-soft,48%,NA,"creamy, smooth",natural,white,"nutty, sweet",fresh,FALSE,FALSE,NA
Aspen Ash,goat,United States,Colorado,NA,"soft, soft-ripened",NA,NA,creamy,ash coated,white,"acidic, creamy",earthy,TRUE,FALSE,Haystack Mountain Creamery
Assa,goat,United States,"Tomales, California",NA,NA,NA,NA,,natural,NA,NA,NA,NA,NA,Tomales Farmstead Creamery
Aubisque Pyrenees,"cow, sheep",France,Béarnaise in Pyrénées-Atlantique,NA,semi-hard,NA,NA,smooth,natural,NA,"mild, smooth",NA,FALSE,FALSE,NA
Auld Lochnagar,cow,Scotland,NA,NA,hard,NA,NA,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,NA,NA,The Cambus O’May Cheese Company
Auld Reekie,cow,Scotland,NA,NA,hard,NA,NA,"buttery, compact, crumbly",natural,orange,"smokey , tangy, woody","fruity, smokey, woody",FALSE,FALSE,The Cambus O’May Cheese Company
Aura,cow,Finland,Äänekoski,Blue,"semi-soft, blue-veined",NA,NA,creamy,mold ripened,pale yellow,"salty, sharp, strong, tangy",NA,FALSE,FALSE,Valio
Austrian Alps cheese,cow,Switzerland,NA,NA,NA,NA,NA,smooth,NA,NA,"nutty, spicy","aromatic, nutty, spicy",FALSE,FALSE,NA
Autun,"cow, goat",France,Burgundy,NA,"fresh soft, artisan",40-45%,NA,creamy,rindless,white,acidic,NA,FALSE,FALSE,NA
Avaxtskyr,cow,Iceland,NA,NA,fresh soft,NA,NA,,NA,NA,NA,NA,TRUE,FALSE,NA
Avonlea Clothbound Cheddar,cow,Canada,Prince Edward Island,Cheddar,"hard, artisan",32%,NA,"creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory",NA,TRUE,FALSE,COWS Inc.
Azeitao,sheep,Portugal,"Setubal, Palmela and Sesimbra",NA,"semi-soft, artisan",NA,NA,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",NA,TRUE,FALSE,NA
Baby Brie,cow,France,NA,Brie,soft,NA,NA,creamy,bloomy,cream,"creamy, mild",aromatic,FALSE,FALSE,NA
Baby Swiss,cow,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed",43%,NA,"creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",NA,FALSE,FALSE,Guggisberg Cheese
Babybel,cow,France,NA,NA,semi-hard,NA,NA,smooth,waxed,NA,NA,NA,NA,NA,NA
Bad Axe,sheep,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,"creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,TRUE,FALSE,Hidden Springs Company
Baguette Laonnaise,cow,France,Ile-de-France/Champagne,NA,"soft, artisan",28.50%,NA,"open, supple",washed,pale yellow,spicy,pungent,FALSE,FALSE,NA
Baita Friuli,cow,Italy,Friuli-Venezia Giulia,NA,firm,NA,NA,compact,natural,pale yellow,"fruity, spicy",rich,FALSE,FALSE,NA
Baladi,"cow, goat, sheep","Lebanon, Middle East",NA,NA,"fresh soft, artisan",22%,NA,"creamy, dense, smooth",rindless,white,"buttery, mild, salty, sweet",fresh,FALSE,FALSE,NA
Balaton,cow,Hungary,NA,NA,semi-hard,NA,NA,firm,natural,pale yellow,"acidic, mild",NA,FALSE,FALSE,NA
Balfour,sheep,New Zealand,Queenstown,NA,hard,NA,NA,"crumbly, flaky, grainy",natural,NA,"nutty, sweet",NA,FALSE,FALSE,The Gibbston Valley Cheese Company
Baluchon,cow,Canada,Quebec,NA,semi-soft,28%,NA,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",FALSE,FALSE,Fromageries Jonathan
Bandal,cow,India,West Bengal,Cottage,"semi-soft, artisan",NA,NA,crumbly,rindless,NA,"salty, smokey , strong",strong,TRUE,FALSE,NA
Banon,goat,France,Banon,NA,"soft, artisan",NA,NA,"creamy, smooth",leaf wrapped,white,"fruity, mild",earthy,NA,NA,NA
Barambah Organics Marinated Feta,cow,Australia,Brisbane,Feta,fresh soft,25.22 g/100g,NA,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,Barambah Organics Pty Ltd.
Barber's 1833,cow,England,NA,Cheddar,hard,NA,NA,creamy,NA,NA,"sweet, tangy",NA,TRUE,FALSE,AJ & RE Barber Ltd
Barberey,cow,France,"Troyes , Aube",NA,soft,20-30%,NA,"dry, smooth, soft",natural,NA,"pungent, woody",mild,FALSE,FALSE,NA
Barden Blue,cow,United States,"West Pawlet, VT",Blue,"semi-hard, artisan, blue-veined",NA,NA,"buttery, dense, open",natural,yellow,"mild, nutty, spicy, tangy","barnyardy, herbal",FALSE,FALSE,Consider Bardwell Farm
Barely Buzzed,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",TRUE,FALSE,Beehive Cheese Company
Barilotto,buffalo,Italy,Campania,Brie,"hard, soft-ripened",NA,NA,firm,washed,pale yellow,"creamy, sharp","buttery, fresh",FALSE,FALSE,Casa Madaio
Barlocco,cow,Scotland,NA,NA,semi-soft,NA,NA,creamy,natural,blue,full-flavored,strong,TRUE,FALSE,The Ethical Dairy
Baron Bigod,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,"buttery, mushroomy","grassy, milky",NA,NA,Fen Farm Dairy
Baron Bigod Baby Truffle,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,milky,"earthy, mushroom",NA,NA,Fen Farm Dairy
Baronerosso di Capra,goat,Italy,Veneto,NA,semi-hard,NA,NA,"crumbly, firm",washed,white,"full-flavored, sharp","fruity, musty",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Barrel Aged Feta,"cow, goat, sheep",Greece,NA,Feta,"soft, artisan",NA,NA,"creamy, crumbly",NA,white,creamy,rich,NA,NA,NA
Barricato al Pepe,cow,Italy,NA,NA,"firm, artisan",NA,NA,crumbly,natural,ivory,NA,"fruity, spicy",NA,NA,NA
Barriquet,goat,France,NA,NA,soft,NA,NA,"smooth, supple",washed,white,"earthy, full-flavored, meaty, nutty",aromatic,FALSE,FALSE,Pierrick Brendani and Nicolas Trotot
Barry's Bay Cheddar,cow,New Zealand,Banks Peninsular in Canterbury,Cheddar,"hard, artisan",NA,NA,creamy,cloth wrapped,NA,NA,NA,FALSE,FALSE,Barry's Bay
Bartlett,sheep,"England, Great Britain, United Kingdom",Somerset,NA,"soft, artisan",NA,NA,"dense, smooth",mold ripened,white,"buttery, milky","aromatic, strong",TRUE,FALSE,NA
Basajo,sheep,Italy,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,NA,sweet,fruity,FALSE,FALSE,NA
Baserri,sheep,United States,NA,Tomme,"semi-hard, artisan",NA,NA,"creamy, crumbly",NA,NA,"milky, tangy","milky, nutty",NA,NA,"Barinaga Ranch, Inc."
Basils Original Rauchkäse,cow,Germany,NA,NA,semi-soft,25.50%,700 mg/100g,"compact, dense, soft",natural,pale yellow,"salty, smokey , spicy",smokey,FALSE,FALSE,Bergader Privatkäserei GmbH
Basing,goat,United Kingdom,Kent,NA,hard,NA,NA,crumbly,NA,NA,"herbaceous, smooth",NA,TRUE,FALSE,NA
Baskeriu,sheep,France,"French Basque Country, Midi-Pyrénées",NA,semi-soft,50%,NA,"dry, smooth",NA,NA,"buttery, nutty","buttery, nutty, rich",TRUE,FALSE,NA
Basket Cheese,cow,Middle East,NA,Cottage,"soft, semi-soft",NA,NA,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,"Specialty Cheese Company, Inc"
Basket Molded Ricotta,cow,,NA,Cottage,fresh firm,NA,NA,firm,NA,white,"creamy, sweet",fresh,NA,NA,NA
Bassigny au porto,cow,Belgium,NA,NA,semi-soft,45%,NA,,washed,yellow,"acidic, buttery",aromatic,FALSE,FALSE,NA
Bath Blue,cow,"England, United Kingdom",South West England,Blue,"soft, artisan, blue-veined",NA,NA,"creamy, smooth",natural,cream,creamy,clean,NA,NA,The Bath Soft Cheese Co.
Bath Soft Cheese,cow,England,South West England,Brie,soft,NA,NA,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",NA,NA,The Bath Soft Cheese Co.
Bath Soft Cheese Truffled,cow,United Kingdom,NA,Brie,soft,NA,NA,"buttery, soft-ripened",NA,white,NA,NA,NA,NA,The Bath Soft Cheese Co.
Batzos,"goat, sheep",Greece,"Central and Western Macedonia, Thessaly",NA,semi-hard,20%,NA,dry,NA,white,"piquant, salty, sour, spicy",pleasant,FALSE,FALSE,NA
Bavaria blu,cow,Germany,NA,Blue,"soft, blue-veined",43.3 g/100g,450 mg/100g,"creamy, soft",mold ripened,cream,"creamy, sharp, strong","aromatic, rich",FALSE,FALSE,Bergader Privatkäserei GmbH
Bavarian Bergkase,cow,Germany,Allgaeu Alps,NA,"hard, artisan",62%,NA,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE,NA
